"IOC"-"Created"-"Modified"-"first seen"-"last_seen"-"descrip"-"IsIoc"-"IsActive"-"Tags"-"Industries"
"2001:4860:4860::8888"-"2009 06 04 22:10:00"-"2009 06 04 22:20:00"-"2009 06 04 22:30:00"-"2009 06 04 22:40:00"-"is simple ioc"-"false"-"true"-"HAS\H"-"culture"
"poehal.com"-"2009 06 04 22:10:00"-"2009 06 04 22:20:00"-"2009 06 04 22:30:00"-"2009 06 04 22:40:00"-"is simple ioc"-"false"-"true"-"HAS/H"-"culture"
"http://sobaka.ovcharka/file/kak"-"2009 06 04 22:10:00"-"2009 06 04 22:20:00"-"2009 06 04 22:30:00"-"2009 06 04 22:40:00"-"is simple ioc"-"false"-"true"-"HAS' H"-"culture"
"4c6ddceb3ee9621a7caec2f95e048e95"-"2009 06 04 22:10:00"-"2009 06 04 22:20:00"-"2009 06 04 22:30:00"-"2009 06 04 22:40:00"-"is simple ioc"-"false"-"true"-"HASH"-"culture"
"e96904bbd8e65e74ac101419be46f9f6f47b0f67"-"2009 06 04 22:10:00"-"2009 06 04 22:20:00"-"2009 06 04 22:30:00"-"2009 06 04 22:40:00"-"is simple ioc"-"false"-"false"-"HASH"-"culture"
"agent007"-"2009 06 04 22:10:00"-"2009 06 04 22:20:00"-"2009 06 04 22:30:00"-"2009 06 04 22:40:00"-"is simple ioc"-"false"-"false"-"HASH"-"culture"
"doc.txt"-"2009 06 04 22:10:00"-"2009 06 04 22:20:00"-"2009 06 04 22:30:00"-"2009 06 04 22:40:00"-"is simple ioc"-"false"-"false"-"HASH"-"culture"
"4700569932437589"-"2009 06 04 22:10:00"-"2009 06 04 22:20:00"-"2009 06 04 22:30:00"-"2009 06 04 22:40:00"-"is simple ioc"-"false"-"false"-"HASH"-"culture"
"123.456.23.3"-"2009 06 04 22:10:00"-"2009 06 04 22:20:00"-"2009 06 04 22:30:00"-"2009 06 04 22:40:00"-"is simple ioc"-"true"-"false"-"HASH"-"culture"
"sobaka@ovcharka.com"-"2009 06 04 22:10:00"-"2009 06 04 22:20:00"-"2009 06 04 22:30:00"-"2009 06 04 22:40:00"-"is simple ioc"-"false"-"false"-"HASH"-"culture"
"123.123.21.1"-"2009 06 04 22:10:00"-"2009 06 04 22:20:00"-"2009 06 04 22:30:00"-"2009 06 04 22:40:00"-"is simple ioc"-"true"-"false"-"HASH"-"culture"
