################################################################;;;;;;;;
"# ""first_seen_utc""";sha256_hash;md5_hash;sha1_hash;file_name;Malware;Tags;Description;IP
2023-05-30 01:43:45;"""b52e24bfb0f3bc77d4b9a7c72526b63060788ba028b9a5d9978d8f8adf0764d2""";"""c0e0bf202950fa80920cd104f7db945d""";"""957d26cdfb7c7e81643d05826032d2c7d8811045""";"""c0e0bf202950fa80920cd104f7db945d""";" ""Babaduk""";Badhash;This is test description for the real IoC at the artificial feed;4.59.56.18
2023-05-30 01:26:49;"""d930e03b78f054fcff98330d08d5105dd2b82e4077d3e2320f2407c877ed0777""";"""3ee707af6422cd9a2a310f6fda458f6b""";"""a255ea6b39906b4c7bf15b1a52fdb43b50615f85""";"""SecuriteInfo.com.Heur.20230530012700444246915""";" ""Mirai""";Badhash;This is test description for the real IoC at the artificial feed;5.61.39.14
2023-05-30 00:55:21;"""e54d5060f522ac4aae58c95d299bff21e5e6e014c941cd0a9e88485ea29e4ebc""";"""7d8ca4eb8f29a87e50322bc202ea2d88""";"""f893bd5e1ced9a4b363a315428165dc9f8bb298d""";"""003534262416252.exe""";" ""FormBook""";Badhash;This is test description for the real IoC at the artificial feed;5.101.152.85
2023-05-30 00:50:14;"""fca144f13d2819b16b527620ba2e1d844a41b3b91057b869751ff004ac6d9d3c""";"""08f54f6557cd4629a7e866cbefb1d5e6""";"""a85528df35739b3558bc831350acf7d3bb5e8d96""";" ""Uevsumfxudvvsf.exe""";" ""Formbook""";Badhash;This is test description for the real IoC at the artificial feed;5.135.43.43
2023-05-30 00:26:53;"""93084ea17f04b88fb4c141a506a2cb51997b8b8f3b388004f81b14e77f44edd6""";"""d39a6d7ead04376672e1a968fb064a69""";"""739138dc46d534f2241207b3c26f203f402c944a""";"""SecuriteInfo.com.Heur.20230530002723960375230""";" ""Babaduk""";Badhash;This is test description for the real IoC at the artificial feed;5.135.115.100
2023-05-30 00:11:00;"""4f540d2de14f48fbfab67076322863bc6637dfdae2808e782bef4334ce40f3cb""";"""0e051c22753307fbf67fa1e7d08bb5e8""";"""0a821d8df7127b9c29dd98e4dd3c8cf08885967f""";"""0e051c22753307fbf67fa1e7d08bb5e8""";" ""Mirai""";Badhash;This is test description for the real IoC at the artificial feed;5.135.115.193
2023-05-30 00:10:54;"""90a1b0edb95f9eb75402ac65073554a1c79011d7b3bfc3e9ee4cc7a532b4aff3""";"""5cb00d833fc1d7a02c494687f69b7b98""";"""dad84c9ae3627f1fc3fe94f5ea2a0c03faa37075""";"""5cb00d833fc1d7a02c494687f69b7b98""";" ""Mirai""";Badhash;This is test description for the real IoC at the artificial feed;5.135.115.194
2023-05-30 00:10:48;"""c7f6fece01fee2e0d8fab0c458e7f92fbf03203cff9bfe29be28e4189096e1d5""";"""b5ad7865d790243b0ded9e26e34005ae""";"""d3b05a4a3345f5e229198c397633ca8295b9c7bf""";"""b5ad7865d790243b0ded9e26e34005ae""";" ""Mirai""";Badhash;This is test description for the real IoC at the artificial feed;5.135.115.195
2023-05-30 00:10:38;"""4d02b55e6629cf01648ca91962dbccc15088c7a3a9afe0030260faf1c04df3da""";"""004cd30e88aebc54f60551b99ef19161""";"""f117d615193f632ea89b8a29203a1a7f47491a45""";"""004cd30e88aebc54f60551b99ef19161""";" ""Mirai""";Badhash;This is test description for the real IoC at the artificial feed;5.135.115.196
2023-05-30 00:10:31;"""e856b47d36aa1238144b3899ca4d2b7d5144b73df13ba0981df95d7c513aa7b4""";"""cbc5216617596b3e30014eaf5023bad9""";"""20b4b378a32a68ebd028d0d3e67b3ce083ca2d72""";"""cbc5216617596b3e30014eaf5023bad9""";" ""Mirai""";Badhash;This is test description for the real IoC at the artificial feed;5.135.115.197
